,电影名,类型,上映时间
0,釜山行2：半岛,动作／惊悚,2020-08-12
1,天气之子,爱情／动画／奇幻,2019-11-01
2,误杀,剧情／犯罪,2019-12-13
3,唐人街探案2,喜剧／动作／悬疑,2018-02-16
4,少年的你,爱情／青春／剧情,2019-10-25
5,哪吒之魔童降世,动画／喜剧／奇幻,2019-07-26
6,战狼2,动作／战争,2017-07-27
7,灰猎犬号,剧情／战争,2020-07-10
8,恐怖电影院2,恐怖／惊悚,2017-10-20
9,毒液2,动作／科幻／惊悚／恐怖,2020-06-25
